#mH (GeV) 	Cross Section (pb) 	+error % 	- error % 	+scale % 	-scale % 	+(PDF+αs) % 	-(PDF+αs) %
90.0	 0.2162	 +12.5	 -18.1	 +4.1	 -9.7	 +8.4	 -8.4
95.0	 0.1880	 +12.4	 -18.0	 +4.0	 -9.6	 +8.4	 -8.4
100.0	 0.1638	 +12.3	 -18.0	 +3.9	 -9.6	 +8.4	 -8.4
105.0	 0.1433	 +12.1	 -17.9	 +3.7	 -9.5	 +8.4	 -8.4
110.0	 0.1257	 +12.1	 -18.0	 +3.6	 -9.5	 +8.5	 -8.5
110.5	 0.1241	 +12.1	 -18.0	 +3.6	 -9.5	 +8.5	 -8.5
111.0	 0.1225	 +12.1	 -18.0	 +3.6	 -9.5	 +8.5	 -8.5
111.5	 0.1209	 +12.0	 -17.9	 +3.6	 -9.5	 +8.5	 -8.5
112.0	 0.1194	 +12.0	 -17.9	 +3.6	 -9.5	 +8.5	 -8.5
112.5	 0.1179	 +12.0	 -17.9	 +3.5	 -9.4	 +8.4	 -8.4
113.0	 0.1164	 +12.0	 -17.9	 +3.5	 -9.4	 +8.4	 -8.4
113.5	 0.1149	 +12.0	 -17.9	 +3.5	 -9.4	 +8.4	 -8.4
114.0	 0.1134	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
114.5	 0.1120	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
115.0	 0.1106	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
115.5	 0.1092	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
116.0	 0.1078	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
116.5	 0.1065	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
117.0	 0.1051	 +11.9	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
117.5	 0.1038	 +11.8	 -17.8	 +3.5	 -9.4	 +8.4	 -8.4
118.0	 0.1025	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
118.5	 0.1013	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
119.0	 0.1000	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
119.5	 0.0988	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
120.0	 0.0976	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
120.5	 0.0964	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
121.0	 0.0952	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
121.5	 0.0940	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
122.0	 0.0929	 +11.8	 -17.8	 +3.4	 -9.4	 +8.4	 -8.4
122.5	 0.0917	 +11.8	 -17.8	 +3.3	 -9.4	 +8.4	 -8.4
123.0	 0.0906	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
123.5	 0.0895	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
124.0	 0.0885	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
124.5	 0.0874	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
125.0	 0.0863	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
125.5	 0.0853	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
126.0	 0.0843	 +11.8	 -17.8	 +3.3	 -9.3	 +8.5	 -8.5
